,뉴스제목,주가변동
27,[코스닥 마감]내우외환에 1% 넘게 하락…630선 하회,0
28,오후장 기술적 분석 특징주 B(코스닥),0
29,"설 땅 좁아지는 탄소배출 기업…""블랙록, 한전·두산 탓에 손실""",0
30,"[특징주]서울반도체, 2분기 실적부진에 약세…52주 신저가",0
31,연준의 ‘매파 기조 섞인 금리인하'에 세계증시↓ vs 달러↑,0
32,신라젠 능가할 바이오株 ! 대장주만 골라서 무료로 제공해 드립니다!,0
33,"[fn오후시황] 코스피, 2020선 회복..약보합세",0
34,"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
35,장중 주요 종목 공시,0
36,1억원 이상 매도체결 상위 20 종목(코스닥),0
37,오전장★섹터동향,0
38,증시요약(4) - 특징 종목(코스피),0
39,"[클릭 e종목]""효성, 2Q 실적 효자들 덕봤다…3일만 목표가 10%↑""",0
40,韓 보다 더 떨어지는 日 증시…니케이 2%대 급락,0
41,전일대비 거래량 급증 종목(코스피),0
42,어닝쇼크에 주가 '와르르' 목표가 '뚝뚝',0
43,[뉴욕증시] 트럼프 中 추가 관세 발언에 수직 하락,0
44,"신라젠, 3상 중단 통보에 투심 `꽁꽁`…바이오株 평균 4%대 `뚝뚝`",0
45,[코스닥 마감]日무역보복 절정...연이틀 하락,0
46,[코스피 마감]7개월 만에 2000선 밑으로…`美·日·中` 트리플 악재,0
47,"[특징주] 신라젠, '하한가' 급락...무용성 평가 결과 펙사벡 임상 3상 중단 권고",0
48,3S(060310)소폭 상승세 +4.22%,0
49,증시요약(5) - 특징 종목(코스닥),0
50,"[특징주] 엠에스오토텍, 中테슬라 '바이튼' 생산 공급 합의 소식에↑",0
51,"외국계 순매수,도 상위종목(코스피) 수량기준",0
52,"외국계 순매수,도 상위종목(코스피) 수량기준",0
53,오후장 특징주★(코스닥),0
54,바이오 주주분들 희소식입니다,0
55,증시요약(9) - 기술적 분석 특징주 A(코스닥),0
56,전일대비 거래량 급증 종목(코스닥),0
57,오후장★섹터동향,0
58,하루만에 `시총 1조` 날아간 신라젠…6위로 `추락`,0
59,오전장 특징주★(코스닥),0
60,코스닥 하락률 상위 50종목,0
61,"외국계 순매수,도 상위종목(코스닥) 금액기준",0
62,증시요약(3) - 특징 섹터,0
63,"코스피 외국인 순매수,도 상위20종목",0
64,"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
65,"외국계 순매수,도 상위종목(코스닥) 수량기준",0
66,[특징주] 코스피·코스닥 급락에 증권주 동반 약세,0
67,증시요약(4) - 특징 종목(코스피),0
68,"코스피, 악재 쏟아진 하루…2000선 끝내 내줘",0
69,"외국계 순매수,도 상위종목(코스피) 수량기준",0
70,5거래일 기준 누적하락률 상위 종목(코스피),0
71,"[fn마감시황]코스피, 7개월만에 최저치...2000선 후퇴",0
72,낙폭 줄인 코스닥...620선도 넘봐,0
73,"""日 화이트리스트 이슈, SKC코오롱PI·신화인터텍·에스앤에스텍 주목""",0
74,"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
75,증시요약(10) - 기술적 분석 특징주 B(코스닥),0
76,"코스닥 외국인 순매수,도 상위20종목",0
77,[굿모닝 증시]아베도 골치 아픈데 트럼프까지,0
78,"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
79,"크라운해태홀딩스(005740)소폭 상승세 +4.55%, 외국계 매수 유입",0
80,"`충격의 연속` 바이오株, 이번엔 신라젠 쇼크에 `우수수`",0
81,"연기금, 4600억 풀어 코스피 구원투수로",0
82,[암흑의 증시]빚 내서 산 코스닥 주식이 오히려 발목,0
83,[암흑의 증시]켜켜이 쌓인 악재…패닉이 지배,0
84,"`외국인 엑소더스` 우려에…개인마저 패닉 ""무조건 팔자""",0
85,바이오株 다음 타자는 헬릭스미스·메지온…'기대 vs 불신',0
86,[특징주]추락하는 증시…연중신고가 종목 `눈길`,0
87,"외국계 순매수,도 상위종목(코스닥) 수량기준",0
88,빚내서 주식 산 개미...코스닥 '손절매냐 보유냐' 고심,0
89,[190805 마감체크] 끝을 알 수 없는 추락,0
90,"헬릭스미스, 내달 유전자 치료제 임상 3상 탑라인 발표 기대-부국",0
91,"코스닥 외국인 순매수,도 상위20종목",0
92,증시 보수적 대응 필요..배당주엔 관심,0
93,변동성 확대에 초분산투자 EMP펀드 인기,0
94,불황 탓에?…회사 팔고 떠나는 코스닥 창업주들,0
95,"[클릭 e종목]""두달 뒤 제3인터넷銀 인가신청…다우기술·미래테크·한국정보인증 주목""",0
96,한·미 연합훈련…북 추가도발 우려에 대북株 털썩,0
97,3S(060310)소폭 상승세 +4.35%,0
98,장마감 후 주요 종목 공시,0
99,증권사 보고서에 주가 출렁이는 기업들,0
100,"[특징주]셀트리온, 7% 급락…20개월만에 시총 20兆 아래로",0
101,[암흑의 증시]美中 분쟁격화·요동친 환율…亞 증시 일제히 `파란 불`,0
102,"코스피·코스닥 동반 급락…전문가들 ""여전히 보수적 접근 필요""",0
103,52주 신고가 종목,0
104,오전장 특징주★(코스닥),0
105,5일 장 마감 후 주요 종목 뉴스,0
106,[e공시 눈에 띄네]코스닥-2일,0
107,[코스피 마감]시커먼 월요일…3년 2개월 만에 1940선 '털썩',0
108,"외국계 순매수,도 상위종목(코스닥) 금액기준",0
109,中에 공넘긴 트럼프...이번주 코스피 1980~2080선 등락,0
110,"일본 불매 수혜株, 개인 매수에 나홀로 급등…`투자주의보`",0
111,"""금융위기 악몽 떠올라""…코스피 2%↓·코스닥 사이드카 발동",0
112,코스피 급락 가속화 1960선 `추락`…2년 8개월래 `최저`,0
113,바이오 주주분들 희소식입니다,0
114,"""바이오 악재 여전히 진행중…엑소더스 현상 가속화 전망""",0
115,"거래소 ""코스닥 급락에 사이드카 발동…3년 2개월만""",0
116,[오전] '환율급등· 외인매도'에 코스피 1960대 추락,0
117,"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
118,연기금 `코스피 구하기` 5200억 퍼붓고도…,0
119,[특징주] 코스피 폭락에 신저가 종목 속출,0
120,"증시 하락에 ‘공매도 공포’ 확산… 상장사들 ""주식대여 금지해달라"" 주주들에 호소[요동치는 금융시장]",0
121,오전장 특징주★(코스닥),0
122,"반등하다 다시 무너진 바이오株 …""이제 무릎 수준"" vs ""지금도 비싸다""",0
123,증시요약(5) - 특징 종목(코스닥),0
124,[특징주]'신라젠 후폭풍'에 제약·바이오株 연일 약세,0
125,[종목이슈] 증시 폭락 속 고공행진 ‘하이트진로’…“테라 돌풍+애국테마”,0
126,"진퇴양난 韓증시…정부 ""컨틴전시플랜 시기상조""",0
127,코스닥 상승률 상위 50종목,0
128,증시요약(9) - 기술적 분석 특징주 A(코스닥),0
129,[뉴욕증시] 美-中 무역전쟁 공포에 수출주 주도 급락,0
130,'곡소리' 나는 주식 팔고…金·채권형펀드 안전자산으로 대피,0
131,[190806 마감체크] 종목의 저점부터 확인하자!,0
132,"`우연일까 필연일까` 바이오株, 폭락 전 반복되는 전조현상",0
133,"외국계 순매수,도 상위종목(코스닥) 금액기준",0
134,오후장 특징주★(코스닥),0
135,3S(060310)소폭 상승세 +4.25%,0
136,오후장 기술적 분석 특징주 A(코스닥),0
137,영화도 불매...항일전쟁 영화 관심 폭발 vs 일본 애니매이션 참패,0
138,"[특징주] 신라젠, 3일째 하한가 직행 후 낙폭 축소…제약·바이오도 진정되나",0
139,코스닥 상승률 상위 50종목,0
140,"외국계 순매수,도 상위종목(코스닥) 수량기준",0
141,코스닥 상승률 상위 50종목,0
142,"""코스피 2차지지선 1870…투자심리 진정되면 2089 복귀 가능성""",0
143,"변동성완화장치(VI) 발동 종목, 발동횟수 기준",0
144,"마니커(027740)소폭 상승세 +3.89%, 외국계 매수 유입",0
145,"[굿모닝 증시]악재가 끊이지 않는 증시…""부진한 흐름 지속""",0
146,"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
147,[코스닥 마감]3% 급락…심리적 지지선 550선 턱걸이,0
148,"외국계 순매수,도 상위종목(코스피) 수량기준",0
149,※ 8월 최고급등이 예상되는 종목 ! [무료체험 신청하기],0
150,기관 1조 순매수에도…코스피 1910선으로 '털썩',0
151,1억원 이상 매수체결 상위 20 종목(코스닥),0
152,[특징주] 폭락장 속 애국株·가상화폐株 동반 강세,0
153,오전장★섹터동향,0
154,"미코, 2분기 영업이익 118억...전년비 0.1%↓",0
155,코스닥 하락률 상위 50종목,0
156,"[특징주]수산株, 국내산 수산물 수요 증가 기대에 동반 '급등'",0
157,"외국계 순매수,도 상위종목(코스피) 수량기준",0
158,[재송]5일 장 마감 후 주요 종목 뉴스,0
159,증시요약(3) - 특징 섹터,0
160,"외국인, 지난주 셀트리온·SK 등 순매수…신라젠도 강세",0
161,금 모으기 대신 주식 사모으기 운동? 어림없는 소리~,0
162,"[실전재테크] ""틈을 노려라""… 상한제 시행에 신축 분양·입주권에 쏠리는 눈",0
163,불확실성 높아진 8월 증시…배당주 매력↑,0
164,'바이오株 추락' 코스닥 시총 순위 지각변동...옥석은?,0
165,52주 신고가 종목,0
166,오전장★섹터동향,0
167,코스닥 상승률 상위 50종목,0
168,"[특징주]삼성바이오로직스, 급등…첨단 배양기술로 생산기간 단축",0
169,코스닥 하락률 상위 50종목,0
170,[특징주] DHC `혐한방송` 논란에 국내 화장품株 동반 `강세`,0
171,코스닥 하락률 상위 50종목,0
172,[재송]9일 장 마감 후 주요 종목 뉴스,0
173,[190812 마감체크] 회복력 테스트,0
174,"8월 12일 코스닥, 4.13p 오른 594.17 마감(0.70%↑)",0
175,코스닥 상승률 상위 50종목,0
176,장중 주요 종목 공시,0
177,[코스닥 마감]4일째 올라 600선 코앞…개미의 힘,0
178,[e공시 눈에 띄네] 코스닥-9일,0
179,코스닥 하락률 상위 50종목,0
180,전일대비 거래량 급증 종목(코스닥),0
181,▶영업이익 1조원! 빛나는 실적株 무료공개 단돈 1천원대!,0
182,종가 동시호가 특이 종목(코스피/코스닥),0
183,코스닥 상승률 상위 50종목,0
184,증시요약(8) - 기술적 분석 특징주 B(코스피),0
185,사실상 `매도`…증권사 목표가 대폭 하향 종목 `속출`,0
186,증시요약(5) - 특징 종목(코스닥),0
187,"[굿모닝 증시]""여전한 불확실성…진바닥은 어디""",0
188,"[특징주]한국콜마, 윤동한 회장 사퇴에도 52주 신저가",0
189,"[특징주]손해보험株, 손해율 상승과 실적둔화 우려에 약세",0
190,오전장 기술적 분석 특징주 A(코스닥),0
191,오전장 특징주★(코스닥),0
192,오전장 기술적 분석 특징주 B(코스피),0
193,1억원 이상 매도체결 상위 20 종목(코스닥),0
194,코스닥 상승률 상위 50종목,0
195,"변동성완화장치(VI) 발동 종목, 발동횟수 기준",0
196,5거래일 기준 누적하락률 상위 종목(코스닥),0
197,"외국인, '코스피 -4.9%' 7월에 韓주식 샀다…주식·채권 합쳐 1조6020억원 순투자",0
198,[코스피 마감]中위안화 안정·부양책 기대감에 1940선 탈환,0
199,오후장 특징주★(코스닥),0
200,[뉴욕증시] 美 추가 관세 일부 연기 결정에 강한 랠리,0
201,52주 신고가 종목,0
202,현재 국산화 관련주 보유중인 분들 긴장해야겠습니다.,0
203,"코스닥 상장사 22곳, 상반기 재무제표 '비적정'…상장폐지 사유도",0
204,"뚝 떨어진 롯데그룹株, 살 때 됐나",0
205,"코스피, 11거래일 연속 外人 매도에 '1950' 탈환 실패",0
206,[190814 마감체크] 관세보다 중요한 건 금리?,0
207,"""공모일정 미룰까""…얼어붙는 증시에 IPO 시장 `전전긍긍`",0
208,오전장 특징주★(코스닥),0
209,[e공시 눈에 띄네]코스닥-13일,0
210,"[특징주] 램테크놀러지, 화평법 완화...日규제 불산 제조판매 탄력 기대감↑",0
211,자 보세요. 15분뒤 알아서 올라갑니다 이 종목,0
212,[코스닥 마감]미중 분쟁 완화 기대에 1%대↑…장중 600선 `터치`,0
213,"[특징주] 텔레칩스, 삼성전자 日 파운드리 기술 발표 참여 소식에 '↑'",0
214,[특징주]日후쿠시마 원전 오염수 방출 이슈 부각…수산주 강세,0
215,에이씨티·KJ프리텍·썬텍…코스닥 9社 `비적정 감사의견`,0
216,증시요약(10) - 기술적 분석 특징주 B(코스닥),0
217,전일대비 거래량 급증 종목(코스닥),0
218,5거래일 기준 누적상승률 상위 종목(코스피),0
219,"[마켓인]LB인베스트먼트, IPO 준비 재시동…'내년 목표'",0
220,전일대비 거래량 급증 종목(코스피),0
221,오전장 특징주★(코스피),0
222,증시요약(9) - 기술적 분석 특징주 A(코스닥),0
223,"[특징주]아이폰부품株, 중국 판매량 회복에 강세",0
224,오늘의 이슈&섹터 스케줄,0
225,"거래소 ""영신금속, 개선계획 이행내역서 제출""",0
226,전일자 증권사 투자의견(하향),0
227,장중 주요 종목 공시,0
228,"[공시+]팬젠, 상반기 매출액 11억… “하반기부터 실적 개선 본격화”",0
229,오후장 특징주★(코스닥),0
230,남영비비안(002070)소폭 상승세 +5.42%,0
231,[카드뉴스] 요즘 것들은 모르는 추억의 음료수 TOP 6!,0
232,약세장서 신고가 카카오· 엔씨소프트·한화에어로…비결은 실적 성장,0
233,코센(009730)소폭 상승세 +4.76%,0
234,[e공시 눈에 띄네]코스피-13일,0
235,"실리콘웍스, 단일제품 의존에 2Q 실적 둔화…목표가↓-KB",0
236,"변동성완화장치(VI) 발동 종목, 발동횟수 기준",0
237,"외국계 순매수,도 상위종목(코스닥) 수량기준",0
238,5거래일 기준 누적하락률 상위 종목(코스닥),0
239,증시요약(8) - 기술적 분석 특징주 B(코스피),0
240,"[특징주]바이오株, 동반 급반등…잇단 호재에 투심 개선",0
241,[코스닥 마감]바이오株 강세에 610선 탈환…기관 '사자',0
242,판세 바뀐 코스닥…바이오 `지고` IT부품 다시 `뜨고`,0
243,[코스피 마감]3일 연속 상승…눈치보기에 강보합,0
244,증시요약(3) - 특징 섹터,0
245,오전장 특징주★(코스피),0
246,[190821 마감체크] 청신호를 기다리며,0
247,증시요약(4) - 특징 종목(코스피),0
248,"외국계 순매수,도 상위종목(코스피) 금액기준",0
249,[뉴욕증시] 국채 수익률 하락에 '뚝' 파월 지켜보자,0
250,"코스피 외국인 순매수,도 상위20종목",0
251,오전장 특징주★(코스닥),0
252,1억원 이상 매수체결 상위 20 종목(코스닥),0
253,1억원 이상 매도체결 상위 20 종목(코스피),0
254,"코스닥, 1%대 상승…기관 매수로 돌아서",0
255,장마감 후 주요 종목 공시,0
256,오후장 특징주★(코스닥),0
257,장중 주요 종목 공시,0
258,전일대비 거래량 급증 종목(코스피),0
259,전일자 증권사 투자의견(상향),0
260,코미팜(041960)소폭 상승세 +3.45%,0
261,"""한국 증시 최악 지나…가격 매력적""",0
262,오후장★섹터동향,0
263,"외국계 순매수,도 상위종목(코스피) 금액기준",0
264,"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
265,현재 국산화 관련주 보유중인 분들 긴장해야겠습니다.,0
266,증시요약(10) - 기술적 분석 특징주 B(코스닥),0
267,코스닥 하락률 상위 50종목,0
268,"8월 21일 코스피, 4.40p 오른 1964.65 마감(0.22%↑)",0
269,오전장 기술적 분석 특징주 B(코스닥),0
270,증시요약(7) - 기술적 분석 특징주 A(코스피),0
271,오후장 기술적 분석 특징주 A(코스닥),0
272,"조선기자재株, 조선주 힘입어 기지재",0
273,1억원 이상 매수체결 상위 20 종목(코스닥),0
274,"파월 입 바라보는 코스피, 약보합 출발",0
275,"코스닥, 600선서 보합권 출발…기관·외국인 '팔자'",0
276,[190821 개장체크] 이어지는 '관망' 흐름,0
277,[비트코인 지금]1300만원·1만700달러대…거래신원 강화·대출서비스 등 '재료'에도 시장 하락세,0
278,1억원 이상 매도체결 상위 20 종목(코스피),0
279,"코스닥 외국인 순매수,도 상위20종목",0
280,[e공시 눈에 띄네]코스닥-21일,0
281,현대바이오(048410)소폭 상승세 +3.95%,0
282,코미팜(041960)소폭 상승세 +4.05%,0
283,"[특징주] 큐로컴, 에이즈백신 상용화 부각↑…자회사 스마젠 임상2상용 GMP생산 착수",0
284,"[특징주]코오롱, ""인보사 효능 영향없다"" 美논문 발표에 '급등'",0
285,엑사이엔씨(054940)소폭 상승세 +5.43%,0
286,[뉴욕증시] 소매 업계 실적-주택 지표 호조에 UP,0
287,"애경산업(018250)소폭 상승세 +3.85%, 외국계 매수 유입",0
288,"바닥 찍은 증시, 낙폭과대주 노려라",0
289,[뉴욕 증시]美경기침체 우려에도 뉴욕증시 상승,0
290,"유지인트(195990)소폭 상승세 +4.71%, 52주 신고가",0
291,"카페24(042000)소폭 상승세 +3.31%, 외국계 매수 유입",0
292,"도이치모터스(067990)소폭 상승세 +3.08%, 나흘째 상승",0
293,"헬릭스미스(084990)소폭 상승세 +3.04%, 10거래일째 상승",0
294,플리토(300080)소폭 상승세 +4.70%,0
295,제이엔케이히터(126880)소폭 상승세 +5.05%,0
296,"웹젠, '뮤' IP 흥행 순항...목표가↑-신한금융투자",0
297,"""G2 무역분쟁으로 인한 신흥국 통화가치 절하…수출반등 모색가능""",0
298,국민연금 배당주 투자 확대…금융·반도체·화학株 수혜-KTB,0
299,[유럽증시]잭슨홀 미팅 주시…1%대 상승,0
300,[190822 마감체크] 공은 또 다시 연준으로,0
301,"[유럽증시] 伊 강한 랠리, 자동차 섹터 주도 상승",0
302,"SK바이오팜 ""연내상장""…바이오株 약될까",0
303,"[특징주] 남영비비안, '경영권 매각 불확실' 공시에 약세",0
304,"[특징주]테고사이언스, `칼로덤` 당뇨병성족부궤양 건강보험 확대적용 `上`",0
305,"[특징주]우진, 후쿠시마 바닷물 128만t 방류…세슘 제염설비 부각 '강세'",0
306,"[굿모닝 증시]낮아지는 실적 눈높이, 제한적인 지수 움직임",0
307,"""배당주 매력 어느 때보다 높아졌다""",0
308,오전장 특징주★(코스닥),0
309,"이엠코리아(095190)소폭 상승세 +3.87%, 나흘째 상승",0
310,무역전쟁에 美 재정·경제 ‘피멍’ 트럼프 또 연준 탓,0
311,외국인·기관 쌍끌이 매도에 코스피·코스닥 하락 마감,0
312,"남영비비안 ""경영권매각 추진설 확정사항 없다""",0
313,[특징주] ‘日후쿠시마 바닷물 국내 해역 방류’ 의혹...우진 ‘강세',0
314,"[특징주]남영비비안, ""경영권매각 추진설 확정사항 없다"" 답변공시에 9%↓",0
315,5거래일 기준 누적상승률 상위 종목(코스닥),0
316,"SK텔레콤, 5G 가입자 100만 돌파",0
317,전일자 증권사 투자의견(상향),0
318,[코스닥 마감]나흘만에 하락…美 금리인하 기대 약화,0
319,"코스피, 눈치보기 보합권 등락 출발…1960선",0
320,"[Bio톡스] 바이오주, 호재에도 요지부동…“기대감 상승 시대 저물다”",0
321,"[마감]잭슨홀 미팅 관망세..코스닥, 2거래일째 하락",0
322,"[특징주]삼륭물산, 일본 독점 깬 GB-8로 세계 1위 제품 노린다…산업계 '러브콜'",0
323,외국인 투자자들 방산株로 몰리는 까닭,0
324,[190823 마감체크] 뿌리가 튼튼해야 나무도 성장한다,0
325,[e공시 눈에 띄네]코스닥-22일,0
326,‘미래 먹거리’ 수소사업 진출로 주가 날개 달까,0
327,오전장 특징주★(코스닥),0
328,지소미아 연장 종료…한국 증시 영향은?,0
329,[특징주]지소미아 카드 꺼내든 정부…애국테마주 다시금 강세,0
330,[뉴욕증시] 제조 경기 위축-연준 매파 발언에 혼조,0
331,"[특징주]일지테크, '꿈의 소재' 탄소섬유 전략물자…지소미아 종료 반사익",0
332,"""오른다 오른다"" 증권가 장밋빛 전망…통신株 반등은 언제",0
333,"""국민연금 스튜어드십 코드 1년…대림산업·셀트리온·네이버 등 22개종목 배당성향 제고 가능성""",0
334,"[굿모닝 증시]""불확실성 시기에는 낙폭 과대주에 관심을""",0
335,52주 신고가 종목,0
336,현재 국산화 관련주 보유중인 분들 긴장해야겠습니다.,0
337,증시요약(9) - 기술적 분석 특징주 A(코스닥),0
338,증시요약(7) - 기술적 분석 특징주 A(코스피),0
339,"국내 증시, 지소미아 종료보다 파월 의장 영향력 클 듯",0
340,장중 주요 종목 공시,0
341,"[fn마감시황] 코스피, 개인 매도세에 1950선 붕괴",0
342,전일대비 거래량 급증 종목(코스피),0
343,[e공시 눈에 띄네]코스피-22일,0
344,"""저가매수는 가장 확실한 전략…최대실적, 저평가, 배당주 선별""",0
345,전일대비 거래량 급증 종목(코스닥),0
346,[특징주]탄소섬유 국산화 가속화 기대에 에이테크솔루션 등 '강세',0
347,증시요약(10) - 기술적 분석 특징주 B(코스닥),0
348,오후장 특징주★(코스닥),0
349,"[특징주] 토박스코리아, 지소미아 종료에 ↑…국내 신발편집샵 '슈마커' 납품 부각",0
350,오전장 기술적 분석 특징주 A(코스피),0
351,"[특징주]방산주, 지소미아 종료 '강세'",0
352,"외국계 순매수,도 상위종목(코스피) 수량기준",0
353,[190823 마감체크] 뿌리가 튼튼해야 나무도 성장한다,0
354,"코스닥 기관 순매수,도 상위20종목",0
355,오전장 기술적 분석 특징주 B(코스닥),0
356,코스닥 하락률 상위 50종목,0
357,[지소미아 종료]'1800 후퇴 VS 제한적 영향' 韓 증시 엇갈린 전망,0
358,증시요약(5) - 특징 종목(코스닥),0
359,오후장 기술적 분석 특징주 A(코스피),0
360,[코스닥 마감]바이오株 급등세에 2%대 상승..600선 회복,0
361,7월 주식·회사채 17조 발행…전월比 17.6%↑,0
362,"[특징주]바이오株, 잇단 악재 노출에 불확실성 해소?…동반 '급등'",0
363,[코스피 마감]MSCI 리밸런싱 종료…1940선 '껑충',0
364,[특징주]현대차 임단협 합의에 자동차 부품주株도 강세,0
365,"카카오·엔씨…외국인들은 지금 ""I♥SW""",0
366,오전장 특징주★(코스닥),0
367,"[뉴욕증시] 전강후약, 일드커브 역전-무역 불확실성",0
368,오전장 특징주★(코스피),0
369,벼랑끝 티슈진 `개선기간` 동아줄 잡을까,0
370,"[특징주] 日 이어 北도 방사능오염수 유출 우려..나노메딕스, 정수설비 부각↑",0
371,400% 저평가 초 바닥 작년에도 이때부터 모았다! 종목 공개!==] 무료신청!,0
372,[굿모닝 증시]“재선 위해 소비심리 자극해야 하는 트럼프에 주목해야”,0
373,바이오株 훈풍에도 신라젠 홀로 급락…시총 39위로 뚝,0
374,[재송]27일 장 마감 후 주요 종목 뉴스,0
375,"[특징주] 신라젠, 검찰 압수수색에 ‘급락’…1만원대 무너져",0
376,증시요약(6) - 특징 상한가 및 급등주,0
377,증시요약(4) - 특징 종목(코스피),0
378,"코스닥 외국인 순매수,도 상위20종목",0
379,[유럽증시] 伊 새연정 기대·中 자동차 구매 규제 완화에 상승,0
380,증시요약(5) - 특징 종목(코스닥),0
381,"""삼성디스플레이, 화웨이에 OLED패널 공급 확대…관련업체 수혜 기대""",0
382,오후장 특징주★(코스닥),0
383,인트론바이오가 쏘아올린 공…바이오 일제히 화색,0
384,전월 月평균 수익률 839%! 9월 목표 900% 지금부터 모아야 할 때!,0
385,5거래일 기준 누적하락률 상위 종목(코스피),0
386,전일대비 거래량 급증 종목(코스닥),0
387,"코스닥, 장단기 금리 역전 심화에도 상승 출발",0
388,"[특징주]신라젠, 압수수색 소식에 하한가",0
389,[특징주] 대통령 전용차에 수소차 넥쏘 채택…관련주 급등,0
390,"코스피·코스닥, 오후 들어서도 상승 흐름 유지",0
391,"더들리의 준엄한 경고…""美연준, 트럼프에 협조 말라""",0
392,[뉴욕증시] 글로벌 경기침체 우려로 하락…다우 0.47%↓,0
393,"'2兆 썰물' 외국인, 삼성SDI·카카오는 담았다",0
394,"외국계 순매수,도 상위종목(코스닥) 수량기준",0
395,"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
396,종가 동시호가 특이 종목(코스피/코스닥),0
397,"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
398,"[특징주] 신라젠, 검찰 압수수색 소식에 급락…""수사에 성실히 임할 것""",0
399,"변동성완화장치(VI) 발동 종목, 발동횟수 기준",0
400,"[종목이슈] LG화학, 테슬라 배터리 공급…2차전지 관련주 ‘고공행진’",0
401,[실전재테크] 교통을 보면 집값이 보인다… '로또 아파트' 어디 숨었을까,0
402,불황에 끄떡없는 '깜짝실적株' 찾아라,0
403,'바이오 신뢰회복' 관건…헬릭스믹스에 달렸다,0
404,2분기 실적호조…中기업 '차이나 디스카운트' 털어낼까,0
405,[190902 마감체크] 낙관보다는 방어적 관점이 필요하다,0
406,오전장 특징주★(코스닥),0
407,"[특징주]코오롱생명과학, 임상3상 허위공시 논란에 약세",0
408,장마감 후 주요 종목 공시,0
409,[굿모닝 증시]끝나지 않는 희망고문 '미중 무역협상',0
410,1억원 이상 매도체결 상위 20 종목(코스닥),0
411,[실전재테크]'GTX 청약불패' 하반기 분양 단지는,0
412,2일 장마감 후 주요 종목 뉴스,0
413,[특징주] 이재현 회장 장남 마약 밀반입 검거… CJ그룹株 약세,0
414,코스닥 하락률 상위 50종목,0
415,5거래일 기준 누적하락률 상위 종목(코스피),0
416,오전장 특징주★(코스피),0
417,오후장 특징주★(코스닥),0
418,1억원 이상 매도체결 상위 20 종목(코스닥),0
419,"변동성완화장치(VI) 발동 종목, 발동횟수 기준",0
420,"2거래일 상승 코스피, 1970선 회복 코앞",0
421,유비쿼스홀딩스(078070)소폭 상승세 +3.07%,0
422,"변동성완화장치(VI) 발동 종목, 발동횟수 기준",0
423,전일대비 거래량 급증 종목(코스닥),0
424,"[특징주]GRT, 순익 646억·'현금부자' 너무 싼 핵심소재업체",0
425,"[특징주]文 ""대입제도 전반 재검토""…입시교육업체↑",0
426,"[fn오후시황]코스피, 외국인 매도에도 1970선 상승세",0
427,“美연준 위원들 발언 주목…韓증시 강세 전망”,0
428,"나노브릭, 주식등의 대량보유자 소유주식수 변동",0
429,1억원 이상 매도체결 상위 20 종목(코스닥),0
430,오후장★섹터동향,0
431,시장불안 커지자…돈 몰리는 EMP펀드,0
432,"변동성완화장치(VI) 발동 종목, 발동횟수 기준",0
